No,Category,Hook,Message Copy
1,The OTA Tax Pain,Stop paying Agoda for your own guests.,"Hi {{First Name}} team, guests in {{Variable1}} are messaging your WhatsApp, waiting for a reply, and then booking via OTA when your staff is busy. We built an AI that replies instantly and secures the direct booking. Reply ""Stop Agoda"" if you want to recover {{Variable3}} this month."
2,The OTA Tax Pain,The 18% leak.,"Hi! Basyir here. With {{Variable2}} rooms, {{First Name}} is likely losing thousands to OTAs simply because guests don't get instant WhatsApp replies. Nocturn AI changes that. Reply ""Tell me more"" for a quick 2-min demo."
3,The OTA Tax Pain,Direct bookings made easy.,"Hello {{First Name}} management. Why pay 18% commission when guests are already trying to reach you directly? Our AI captures your WhatsApp leads 24/7. Reply ""Direct"" to see how we can add {{Variable3}} to your bottom line."
4,The OTA Tax Pain,"You did the marketing, they took the cut.","Hey {{First Name}}. You brought the guest to your WhatsApp, but OTAs took the 18% cut because of slow response times. Let’s fix that. Reply ""Nak"" and I’ll show you how our local AI concierge works."
5,The OTA Tax Pain,Keep your 15%.,"Hi team at {{First Name}}. We help {{Variable1}} hotels capture direct bookings on WhatsApp, saving you 15% per room compared to OTAs. We only charge 3% when we close a booking. Reply ""Show me"" if interested!"
6,The After-Hours Nightmare,Who answers your WhatsApp at 11:47 PM?,"Hi {{First Name}}, when your reservation desk closes, you lose bookings to Agoda. Nocturn AI answers midnight inquiries in 30 seconds, quoting correct rates and taxes. Reply ""Night Shift"" to see how it works."
7,The After-Hours Nightmare,Wake up to confirmed bookings.,"Hey {{First Name}} team. Imagine your GM getting a 9 AM report showing {{Variable3}} in recovered revenue from guests who messaged you at 2 AM. Reply ""More Money"" to see it in action."
8,The After-Hours Nightmare,The 6 PM revenue drop-off.,"Hi Basyir here. Most {{Variable1}} hotels drop 100% of leads after 6 PM. Our AI sits on your WhatsApp and closes those night-time guests automatically. Reply ""I Want"" for a quick case study."
9,The After-Hours Nightmare,"Your staff sleeps, OTAs don't.","Hello {{First Name}}. Guests browse at midnight. If you can't reply instantly, they book elsewhere. Nocturn AI fixes this for {{Variable2}}-room properties. Reply ""24/7"" to learn how."
10,The After-Hours Nightmare,Never leave a guest on 'Read'.,"Hey {{First Name}} management. Don't let late-night inquiries go cold. We deploy an AI that speaks BM/English and handles your after-hours bookings. Reply ""Nak tau"" for details!"
11,Pure ROI & Zero Risk,I can find {{Variable3}} hidden in your WhatsApp.,"Hi {{First Name}} team. I’m Basyir, founder of Nocturn AI. We help hotels with {{Variable2}} rooms recover lost direct bookings. We only take 3% of what we close. Zero risk. Reply ""Prove it"" to see the math."
12,Pure ROI & Zero Risk,RM999 setup. Immediate ROI.,"Hello {{First Name}}. We can have an AI booking agent live on your WhatsApp in 48 hours. Based on your {{Variable2}} rooms, it should generate {{Variable3}} in direct revenue. Reply ""ROI"" to see the breakdown."
13,Pure ROI & Zero Risk,"A revenue partner, not a software vendor.","Hi {{First Name}}. We don't sell expensive subscriptions. We charge 3% only when our AI closes a direct booking on your WhatsApp. Want to save your OTA fees in {{Variable1}}? Reply ""Partner""."
14,Pure ROI & Zero Risk,The math makes sense.,"Hey {{First Name}}. If our AI saves you from paying 18% to OTAs and only charges 3%, you instantly increase profit per room. Reply ""Math"" to see how much your {{Variable2}} rooms could generate."
